B,Dia,Torque,F,BearingType,A,L,L2,d1,K,M,N,Q,P,H1,h2,h3,b1,d0,Inertia,Weight,CAD_Code
1400,1250,66,450,24152,2100,1600,1250,240,410,320,170,750,900,290,90,252,56,M36,592,4811,140A209Y(Z)
1400,1250,80,520,24156,2100,1600,1260,260,410,320,170,840,1000,310,100,272,56,M36,745,5403,140A309Y(Z)
1400,1250,120,660,23160,2100,1600,1260,280,470,320,170,940,1150,330,100,292,63,M36,855,6255,140A409Y(Z)
1400,1400,80,520,24156,2100,1600,1260,260,410,320,170,840,1000,310,100,272,56,M36,1044,5722,140A110Y(Z)
1400,1400,120,800,23160,2100,1600,1260,280,470,320,170,940,1150,330,100,292,63,M36,940,6635,140A210Y(Z)
1400,1400,160,1050,23268,2250,1600,1400,300,470,470,260,1010,1200,380,120,314,70,M42,1408,8715,140A310Y(Z)
1400,1600,120,800,23160,2150,1600,1285,280,470,320,170,940,1150,330,100,292,63,M36,2017,7621,140A111Y(Z)
1400,1600,160,1050,23268,2250,1600,1400,300,470,470,260,1010,1200,380,120,314,70,M42,2184,9478,140A211Y(Z)
1600,800,20,120,22232,2250,1800,1235,150,250,200,105,520,640,200,65,158,36,M30,110.6,1744,160A107Y(Z)
1600,800,27,160,22236,2250,1800,1245,170,300,220,120,570,700,220,70,179,40,M30,123.4,2135,160A207Y(Z)
1600,800,40,240,23240,2300,1800,1330,190,350,255,140,640,780,240,75,200,45,M30,153.6,2836,160A307Y(Z)
1600,800,52,320,23244,2300,1800,1330,200,350,270,140,720,880,270,80,210,45,M36,181,3389,160A407Y(Z)
1600,800,66,450,23248,2350,1800,1375,220,350,300,150,750,900,290,90,231,50,M36,195,3892,160A507Y(Z)
1600,1000,27,160,22236,2250,1800,1245,170,300,220,120,570,700,220,70,179,40,M30,242,2419,160A108Y(Z)
1600,1000,40,240,23240,2300,1800,1330,190,350,255,140,640,780,240,75,200,45,M30,317.4,3273,160A208Y(Z)
1600,1000,52,320,23244,2300,1800,1330,200,350,270,140,720,880,270,80,210,45,M36,344.9,3742,160A308Y(Z)
1600,1000,66,450,23248,2350,1800,1375,220,350,300,150,750,900,290,90,231,50,M36,374,4288,160A408Y(Z)
1600,1000,80,520,24152,2350,1800,1385,240,410,320,170,750,900,290,90,252,56,M36,376.7,4616,160A508Y(Z)
1600,1000,120,650,24156,2350,1800,1385,260,410,320,170,840,1000,310,100,272,56,M36,403,5130,160A608Y(Z)
1600,1250,66,450,23248,2350,1800,1375,220,350,300,150,750,900,290,90,231,50,M36,724,4799,160A109Y(Z)
1600,1250,80,520,24152,2350,1800,1385,240,410,320,170,750,900,290,90,252,56,M36,727.6,5084,160A209Y(Z)
1600,1250,120,650,24156,2350,1800,1385,260,410,320,170,840,1000,310,100,272,56,M36,792.4,5727,160A309Y(Z)
1600,1250,160,800,23160,2350,1800,1385,280,470,320,170,940,1150,330,100,292,63,M36,1188,6577,160A409Y(Z)
1600,1400,80,520,24156,2350,1800,1385,260,410,320,170,840,1000,310,100,272,56,M36,1110,6065,160A110Y(Z)
1600,1400,120,800,23160,2350,1800,1385,280,470,320,170,940,1150,330,100,292,63,M36,1271,6977,160A210Y(Z)
